Rule,Output,Risk Level
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF5 (mu=1.0831, sigma=0.0718) AND humidity IS MF2 (mu=0.2938, sigma=0.1057) AND NaCl IS MF4 (mu=0.8870, sigma=0.2120) AND KCl IS MF5 (mu=1.0582, sigma=0.0905)",0.3199,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF5 (mu=1.0831, sigma=0.0718) AND humidity IS MF2 (mu=0.2938, sigma=0.1057) AND NaCl IS MF5 (mu=1.0984, sigma=0.0523) AND KCl IS MF1 (mu=-0.0555, sigma=0.0945)",0.6251,🟡 medium
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF5 (mu=1.0831, sigma=0.0718) AND humidity IS MF2 (mu=0.2938, sigma=0.1057) AND NaCl IS MF5 (mu=1.0984, sigma=0.0523) AND KCl IS MF2 (mu=0.3639, sigma=0.3244)",0.2382,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF5 (mu=1.0831, sigma=0.0718) AND humidity IS MF2 (mu=0.2938, sigma=0.1057) AND NaCl IS MF5 (mu=1.0984, sigma=0.0523) AND KCl IS MF3 (mu=0.4274, sigma=0.0122)",0.4321,🟡 medium
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF5 (mu=1.0831, sigma=0.0718) AND humidity IS MF2 (mu=0.2938, sigma=0.1057) AND NaCl IS MF5 (mu=1.0984, sigma=0.0523) AND KCl IS MF4 (mu=0.6081, sigma=0.3320)",-0.2255,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF5 (mu=1.0831, sigma=0.0718) AND humidity IS MF2 (mu=0.2938, sigma=0.1057) AND NaCl IS MF5 (mu=1.0984, sigma=0.0523) AND KCl IS MF5 (mu=1.0582, sigma=0.0905)",0.2695,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF5 (mu=1.0831, sigma=0.0718) AND humidity IS MF3 (mu=0.4050, sigma=0.0826) AND NaCl IS MF1 (mu=-0.0580, sigma=0.0999) AND KCl IS MF1 (mu=-0.0555, sigma=0.0945)",0.1889,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF5 (mu=1.0831, sigma=0.0718) AND humidity IS MF3 (mu=0.4050, sigma=0.0826) AND NaCl IS MF1 (mu=-0.0580, sigma=0.0999) AND KCl IS MF2 (mu=0.3639, sigma=0.3244)",0.4114,🟡 medium
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF5 (mu=1.0831, sigma=0.0718) AND humidity IS MF3 (mu=0.4050, sigma=0.0826) AND NaCl IS MF1 (mu=-0.0580, sigma=0.0999) AND KCl IS MF3 (mu=0.4274, sigma=0.0122)",0.2887,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF5 (mu=1.0831, sigma=0.0718) AND humidity IS MF3 (mu=0.4050, sigma=0.0826) AND NaCl IS MF1 (mu=-0.0580, sigma=0.0999) AND KCl IS MF4 (mu=0.6081, sigma=0.3320)",0.1078,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF5 (mu=1.0831, sigma=0.0718) AND humidity IS MF3 (mu=0.4050, sigma=0.0826) AND NaCl IS MF1 (mu=-0.0580, sigma=0.0999) AND KCl IS MF5 (mu=1.0582, sigma=0.0905)",0.2309,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF5 (mu=1.0831, sigma=0.0718) AND humidity IS MF3 (mu=0.4050, sigma=0.0826) AND NaCl IS MF2 (mu=0.1644, sigma=0.2222) AND KCl IS MF1 (mu=-0.0555, sigma=0.0945)",-0.1207,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF5 (mu=1.0831, sigma=0.0718) AND humidity IS MF3 (mu=0.4050, sigma=0.0826) AND NaCl IS MF2 (mu=0.1644, sigma=0.2222) AND KCl IS MF2 (mu=0.3639, sigma=0.3244)",0.1833,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF5 (mu=1.0831, sigma=0.0718) AND humidity IS MF3 (mu=0.4050, sigma=0.0826) AND NaCl IS MF2 (mu=0.1644, sigma=0.2222) AND KCl IS MF3 (mu=0.4274, sigma=0.0122)",-0.0786,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF5 (mu=1.0831, sigma=0.0718) AND humidity IS MF3 (mu=0.4050, sigma=0.0826) AND NaCl IS MF2 (mu=0.1644, sigma=0.2222) AND KCl IS MF4 (mu=0.6081, sigma=0.3320)",-0.2563,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF5 (mu=1.0831, sigma=0.0718) AND humidity IS MF3 (mu=0.4050, sigma=0.0826) AND NaCl IS MF2 (mu=0.1644, sigma=0.2222) AND KCl IS MF5 (mu=1.0582, sigma=0.0905)",-0.2113,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF5 (mu=1.0831, sigma=0.0718) AND humidity IS MF3 (mu=0.4050, sigma=0.0826) AND NaCl IS MF3 (mu=0.5446, sigma=0.4050) AND KCl IS MF1 (mu=-0.0555, sigma=0.0945)",-0.2446,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF5 (mu=1.0831, sigma=0.0718) AND humidity IS MF3 (mu=0.4050, sigma=0.0826) AND NaCl IS MF3 (mu=0.5446, sigma=0.4050) AND KCl IS MF2 (mu=0.3639, sigma=0.3244)",-0.2662,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF5 (mu=1.0831, sigma=0.0718) AND humidity IS MF3 (mu=0.4050, sigma=0.0826) AND NaCl IS MF3 (mu=0.5446, sigma=0.4050) AND KCl IS MF3 (mu=0.4274, sigma=0.0122)",-0.1897,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF5 (mu=1.0831, sigma=0.0718) AND humidity IS MF3 (mu=0.4050, sigma=0.0826) AND NaCl IS MF3 (mu=0.5446, sigma=0.4050) AND KCl IS MF4 (mu=0.6081, sigma=0.3320)",-0.4014,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF5 (mu=1.0831, sigma=0.0718) AND humidity IS MF3 (mu=0.4050, sigma=0.0826) AND NaCl IS MF3 (mu=0.5446, sigma=0.4050) AND KCl IS MF5 (mu=1.0582, sigma=0.0905)",-0.4211,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF5 (mu=1.0831, sigma=0.0718) AND humidity IS MF3 (mu=0.4050, sigma=0.0826) AND NaCl IS MF4 (mu=0.8870, sigma=0.2120) AND KCl IS MF1 (mu=-0.0555, sigma=0.0945)",-0.2178,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF5 (mu=1.0831, sigma=0.0718) AND humidity IS MF3 (mu=0.4050, sigma=0.0826) AND NaCl IS MF4 (mu=0.8870, sigma=0.2120) AND KCl IS MF2 (mu=0.3639, sigma=0.3244)",0.5695,🟡 medium
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF5 (mu=1.0831, sigma=0.0718) AND humidity IS MF3 (mu=0.4050, sigma=0.0826) AND NaCl IS MF4 (mu=0.8870, sigma=0.2120) AND KCl IS MF3 (mu=0.4274, sigma=0.0122)",0.1271,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF5 (mu=1.0831, sigma=0.0718) AND humidity IS MF3 (mu=0.4050, sigma=0.0826) AND NaCl IS MF4 (mu=0.8870, sigma=0.2120) AND KCl IS MF4 (mu=0.6081, sigma=0.3320)",-0.1276,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF5 (mu=1.0831, sigma=0.0718) AND humidity IS MF3 (mu=0.4050, sigma=0.0826) AND NaCl IS MF4 (mu=0.8870, sigma=0.2120) AND KCl IS MF5 (mu=1.0582, sigma=0.0905)",0.6304,🟡 medium
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF5 (mu=1.0831, sigma=0.0718) AND humidity IS MF3 (mu=0.4050, sigma=0.0826) AND NaCl IS MF5 (mu=1.0984, sigma=0.0523) AND KCl IS MF1 (mu=-0.0555, sigma=0.0945)",0.1725,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF5 (mu=1.0831, sigma=0.0718) AND humidity IS MF3 (mu=0.4050, sigma=0.0826) AND NaCl IS MF5 (mu=1.0984, sigma=0.0523) AND KCl IS MF2 (mu=0.3639, sigma=0.3244)",0.4736,🟡 medium
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF5 (mu=1.0831, sigma=0.0718) AND humidity IS MF3 (mu=0.4050, sigma=0.0826) AND NaCl IS MF5 (mu=1.0984, sigma=0.0523) AND KCl IS MF3 (mu=0.4274, sigma=0.0122)",0.2679,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF5 (mu=1.0831, sigma=0.0718) AND humidity IS MF3 (mu=0.4050, sigma=0.0826) AND NaCl IS MF5 (mu=1.0984, sigma=0.0523) AND KCl IS MF4 (mu=0.6081, sigma=0.3320)",-0.0427,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF5 (mu=1.0831, sigma=0.0718) AND humidity IS MF3 (mu=0.4050, sigma=0.0826) AND NaCl IS MF5 (mu=1.0984, sigma=0.0523) AND KCl IS MF5 (mu=1.0582, sigma=0.0905)",-0.0645,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF5 (mu=1.0831, sigma=0.0718) AND humidity IS MF4 (mu=0.5801, sigma=1.1066) AND NaCl IS MF1 (mu=-0.0580, sigma=0.0999) AND KCl IS MF1 (mu=-0.0555, sigma=0.0945)",-0.1940,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF5 (mu=1.0831, sigma=0.0718) AND humidity IS MF4 (mu=0.5801, sigma=1.1066) AND NaCl IS MF1 (mu=-0.0580, sigma=0.0999) AND KCl IS MF2 (mu=0.3639, sigma=0.3244)",0.6682,🟡 medium
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF5 (mu=1.0831, sigma=0.0718) AND humidity IS MF4 (mu=0.5801, sigma=1.1066) AND NaCl IS MF1 (mu=-0.0580, sigma=0.0999) AND KCl IS MF3 (mu=0.4274, sigma=0.0122)",0.0045,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF5 (mu=1.0831, sigma=0.0718) AND humidity IS MF4 (mu=0.5801, sigma=1.1066) AND NaCl IS MF1 (mu=-0.0580, sigma=0.0999) AND KCl IS MF4 (mu=0.6081, sigma=0.3320)",-0.2544,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF5 (mu=1.0831, sigma=0.0718) AND humidity IS MF4 (mu=0.5801, sigma=1.1066) AND NaCl IS MF1 (mu=-0.0580, sigma=0.0999) AND KCl IS MF5 (mu=1.0582, sigma=0.0905)",1.0147,🔴 high
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF5 (mu=1.0831, sigma=0.0718) AND humidity IS MF4 (mu=0.5801, sigma=1.1066) AND NaCl IS MF2 (mu=0.1644, sigma=0.2222) AND KCl IS MF1 (mu=-0.0555, sigma=0.0945)",-0.5690,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF5 (mu=1.0831, sigma=0.0718) AND humidity IS MF4 (mu=0.5801, sigma=1.1066) AND NaCl IS MF2 (mu=0.1644, sigma=0.2222) AND KCl IS MF2 (mu=0.3639, sigma=0.3244)",0.1740,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF5 (mu=1.0831, sigma=0.0718) AND humidity IS MF4 (mu=0.5801, sigma=1.1066) AND NaCl IS MF2 (mu=0.1644, sigma=0.2222) AND KCl IS MF3 (mu=0.4274, sigma=0.0122)",0.2217,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF5 (mu=1.0831, sigma=0.0718) AND humidity IS MF4 (mu=0.5801, sigma=1.1066) AND NaCl IS MF2 (mu=0.1644, sigma=0.2222) AND KCl IS MF4 (mu=0.6081, sigma=0.3320)",0.0181,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF5 (mu=1.0831, sigma=0.0718) AND humidity IS MF4 (mu=0.5801, sigma=1.1066) AND NaCl IS MF2 (mu=0.1644, sigma=0.2222) AND KCl IS MF5 (mu=1.0582, sigma=0.0905)",0.5563,🟡 medium
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF5 (mu=1.0831, sigma=0.0718) AND humidity IS MF4 (mu=0.5801, sigma=1.1066) AND NaCl IS MF3 (mu=0.5446, sigma=0.4050) AND KCl IS MF1 (mu=-0.0555, sigma=0.0945)",-0.8409,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF5 (mu=1.0831, sigma=0.0718) AND humidity IS MF4 (mu=0.5801, sigma=1.1066) AND NaCl IS MF3 (mu=0.5446, sigma=0.4050) AND KCl IS MF2 (mu=0.3639, sigma=0.3244)",-0.2419,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF5 (mu=1.0831, sigma=0.0718) AND humidity IS MF4 (mu=0.5801, sigma=1.1066) AND NaCl IS MF3 (mu=0.5446, sigma=0.4050) AND KCl IS MF3 (mu=0.4274, sigma=0.0122)",-0.3506,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF5 (mu=1.0831, sigma=0.0718) AND humidity IS MF4 (mu=0.5801, sigma=1.1066) AND NaCl IS MF3 (mu=0.5446, sigma=0.4050) AND KCl IS MF4 (mu=0.6081, sigma=0.3320)",-0.2341,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF5 (mu=1.0831, sigma=0.0718) AND humidity IS MF4 (mu=0.5801, sigma=1.1066) AND NaCl IS MF3 (mu=0.5446, sigma=0.4050) AND KCl IS MF5 (mu=1.0582, sigma=0.0905)",0.4723,🟡 medium
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF5 (mu=1.0831, sigma=0.0718) AND humidity IS MF4 (mu=0.5801, sigma=1.1066) AND NaCl IS MF4 (mu=0.8870, sigma=0.2120) AND KCl IS MF1 (mu=-0.0555, sigma=0.0945)",-0.4981,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF5 (mu=1.0831, sigma=0.0718) AND humidity IS MF4 (mu=0.5801, sigma=1.1066) AND NaCl IS MF4 (mu=0.8870, sigma=0.2120) AND KCl IS MF2 (mu=0.3639, sigma=0.3244)",0.8811,🔴 high
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF5 (mu=1.0831, sigma=0.0718) AND humidity IS MF4 (mu=0.5801, sigma=1.1066) AND NaCl IS MF4 (mu=0.8870, sigma=0.2120) AND KCl IS MF3 (mu=0.4274, sigma=0.0122)",0.3381,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF5 (mu=1.0831, sigma=0.0718) AND humidity IS MF4 (mu=0.5801, sigma=1.1066) AND NaCl IS MF4 (mu=0.8870, sigma=0.2120) AND KCl IS MF4 (mu=0.6081, sigma=0.3320)",0.6877,🟡 medium
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF5 (mu=1.0831, sigma=0.0718) AND humidity IS MF4 (mu=0.5801, sigma=1.1066) AND NaCl IS MF4 (mu=0.8870, sigma=0.2120) AND KCl IS MF5 (mu=1.0582, sigma=0.0905)",0.8369,🔴 high
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF5 (mu=1.0831, sigma=0.0718) AND humidity IS MF4 (mu=0.5801, sigma=1.1066) AND NaCl IS MF5 (mu=1.0984, sigma=0.0523) AND KCl IS MF1 (mu=-0.0555, sigma=0.0945)",0.4367,🟡 medium
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF5 (mu=1.0831, sigma=0.0718) AND humidity IS MF4 (mu=0.5801, sigma=1.1066) AND NaCl IS MF5 (mu=1.0984, sigma=0.0523) AND KCl IS MF2 (mu=0.3639, sigma=0.3244)",0.2209,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF5 (mu=1.0831, sigma=0.0718) AND humidity IS MF4 (mu=0.5801, sigma=1.1066) AND NaCl IS MF5 (mu=1.0984, sigma=0.0523) AND KCl IS MF3 (mu=0.4274, sigma=0.0122)",0.2776,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF5 (mu=1.0831, sigma=0.0718) AND humidity IS MF4 (mu=0.5801, sigma=1.1066) AND NaCl IS MF5 (mu=1.0984, sigma=0.0523) AND KCl IS MF4 (mu=0.6081, sigma=0.3320)",-0.6038,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF5 (mu=1.0831, sigma=0.0718) AND humidity IS MF4 (mu=0.5801, sigma=1.1066) AND NaCl IS MF5 (mu=1.0984, sigma=0.0523) AND KCl IS MF5 (mu=1.0582, sigma=0.0905)",-0.2945,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF5 (mu=1.0831, sigma=0.0718) AND humidity IS MF5 (mu=1.0391, sigma=0.0930) AND NaCl IS MF1 (mu=-0.0580, sigma=0.0999) AND KCl IS MF1 (mu=-0.0555, sigma=0.0945)",-0.3997,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF5 (mu=1.0831, sigma=0.0718) AND humidity IS MF5 (mu=1.0391, sigma=0.0930) AND NaCl IS MF1 (mu=-0.0580, sigma=0.0999) AND KCl IS MF2 (mu=0.3639, sigma=0.3244)",0.1910,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF5 (mu=1.0831, sigma=0.0718) AND humidity IS MF5 (mu=1.0391, sigma=0.0930) AND NaCl IS MF1 (mu=-0.0580, sigma=0.0999) AND KCl IS MF3 (mu=0.4274, sigma=0.0122)",-0.0406,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF5 (mu=1.0831, sigma=0.0718) AND humidity IS MF5 (mu=1.0391, sigma=0.0930) AND NaCl IS MF1 (mu=-0.0580, sigma=0.0999) AND KCl IS MF4 (mu=0.6081, sigma=0.3320)",-0.5108,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF5 (mu=1.0831, sigma=0.0718) AND humidity IS MF5 (mu=1.0391, sigma=0.0930) AND NaCl IS MF1 (mu=-0.0580, sigma=0.0999) AND KCl IS MF5 (mu=1.0582, sigma=0.0905)",1.0819,🔴 high
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF5 (mu=1.0831, sigma=0.0718) AND humidity IS MF5 (mu=1.0391, sigma=0.0930) AND NaCl IS MF2 (mu=0.1644, sigma=0.2222) AND KCl IS MF1 (mu=-0.0555, sigma=0.0945)",-0.3841,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF5 (mu=1.0831, sigma=0.0718) AND humidity IS MF5 (mu=1.0391, sigma=0.0930) AND NaCl IS MF2 (mu=0.1644, sigma=0.2222) AND KCl IS MF2 (mu=0.3639, sigma=0.3244)",0.2724,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF5 (mu=1.0831, sigma=0.0718) AND humidity IS MF5 (mu=1.0391, sigma=0.0930) AND NaCl IS MF2 (mu=0.1644, sigma=0.2222) AND KCl IS MF3 (mu=0.4274, sigma=0.0122)",-0.0192,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF5 (mu=1.0831, sigma=0.0718) AND humidity IS MF5 (mu=1.0391, sigma=0.0930) AND NaCl IS MF2 (mu=0.1644, sigma=0.2222) AND KCl IS MF4 (mu=0.6081, sigma=0.3320)",0.2317,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF5 (mu=1.0831, sigma=0.0718) AND humidity IS MF5 (mu=1.0391, sigma=0.0930) AND NaCl IS MF2 (mu=0.1644, sigma=0.2222) AND KCl IS MF5 (mu=1.0582, sigma=0.0905)",0.4923,🟡 medium
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF5 (mu=1.0831, sigma=0.0718) AND humidity IS MF5 (mu=1.0391, sigma=0.0930) AND NaCl IS MF3 (mu=0.5446, sigma=0.4050) AND KCl IS MF1 (mu=-0.0555, sigma=0.0945)",-0.7186,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF5 (mu=1.0831, sigma=0.0718) AND humidity IS MF5 (mu=1.0391, sigma=0.0930) AND NaCl IS MF3 (mu=0.5446, sigma=0.4050) AND KCl IS MF2 (mu=0.3639, sigma=0.3244)",-0.0360,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF5 (mu=1.0831, sigma=0.0718) AND humidity IS MF5 (mu=1.0391, sigma=0.0930) AND NaCl IS MF3 (mu=0.5446, sigma=0.4050) AND KCl IS MF3 (mu=0.4274, sigma=0.0122)",0.1078,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF5 (mu=1.0831, sigma=0.0718) AND humidity IS MF5 (mu=1.0391, sigma=0.0930) AND NaCl IS MF3 (mu=0.5446, sigma=0.4050) AND KCl IS MF4 (mu=0.6081, sigma=0.3320)",0.3787,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF5 (mu=1.0831, sigma=0.0718) AND humidity IS MF5 (mu=1.0391, sigma=0.0930) AND NaCl IS MF3 (mu=0.5446, sigma=0.4050) AND KCl IS MF5 (mu=1.0582, sigma=0.0905)",0.1406,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF5 (mu=1.0831, sigma=0.0718) AND humidity IS MF5 (mu=1.0391, sigma=0.0930) AND NaCl IS MF4 (mu=0.8870, sigma=0.2120) AND KCl IS MF1 (mu=-0.0555, sigma=0.0945)",0.1470,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF5 (mu=1.0831, sigma=0.0718) AND humidity IS MF5 (mu=1.0391, sigma=0.0930) AND NaCl IS MF4 (mu=0.8870, sigma=0.2120) AND KCl IS MF2 (mu=0.3639, sigma=0.3244)",0.7528,🔴 high
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF5 (mu=1.0831, sigma=0.0718) AND humidity IS MF5 (mu=1.0391, sigma=0.0930) AND NaCl IS MF4 (mu=0.8870, sigma=0.2120) AND KCl IS MF3 (mu=0.4274, sigma=0.0122)",0.1896,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF5 (mu=1.0831, sigma=0.0718) AND humidity IS MF5 (mu=1.0391, sigma=0.0930) AND NaCl IS MF4 (mu=0.8870, sigma=0.2120) AND KCl IS MF4 (mu=0.6081, sigma=0.3320)",0.7472,🔴 high
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF5 (mu=1.0831, sigma=0.0718) AND humidity IS MF5 (mu=1.0391, sigma=0.0930) AND NaCl IS MF4 (mu=0.8870, sigma=0.2120) AND KCl IS MF5 (mu=1.0582, sigma=0.0905)",0.4190,🟡 medium
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF5 (mu=1.0831, sigma=0.0718) AND humidity IS MF5 (mu=1.0391, sigma=0.0930) AND NaCl IS MF5 (mu=1.0984, sigma=0.0523) AND KCl IS MF1 (mu=-0.0555, sigma=0.0945)",0.2474,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF5 (mu=1.0831, sigma=0.0718) AND humidity IS MF5 (mu=1.0391, sigma=0.0930) AND NaCl IS MF5 (mu=1.0984, sigma=0.0523) AND KCl IS MF2 (mu=0.3639, sigma=0.3244)",-0.4207,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF5 (mu=1.0831, sigma=0.0718) AND humidity IS MF5 (mu=1.0391, sigma=0.0930) AND NaCl IS MF5 (mu=1.0984, sigma=0.0523) AND KCl IS MF3 (mu=0.4274, sigma=0.0122)",0.2144,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF5 (mu=1.0831, sigma=0.0718) AND humidity IS MF5 (mu=1.0391, sigma=0.0930) AND NaCl IS MF5 (mu=1.0984, sigma=0.0523) AND KCl IS MF4 (mu=0.6081, sigma=0.3320)",-0.0656,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF5 (mu=1.0831, sigma=0.0718) AND humidity IS MF5 (mu=1.0391, sigma=0.0930) AND NaCl IS MF5 (mu=1.0984, sigma=0.0523) AND KCl IS MF5 (mu=1.0582, sigma=0.0905)",0.4387,🟡 medium
"IF temperature IS MF2 (mu=0.3231, sigma=0.3255) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF1 (mu=-0.0642, sigma=0.0886) AND NaCl IS MF1 (mu=-0.0580, sigma=0.0999) AND KCl IS MF1 (mu=-0.0555, sigma=0.0945)",0.2945,🟢 low
"IF temperature IS MF2 (mu=0.3231, sigma=0.3255) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF1 (mu=-0.0642, sigma=0.0886) AND NaCl IS MF1 (mu=-0.0580, sigma=0.0999) AND KCl IS MF2 (mu=0.3639, sigma=0.3244)",0.0497,🟢 low
"IF temperature IS MF2 (mu=0.3231, sigma=0.3255) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF1 (mu=-0.0642, sigma=0.0886) AND NaCl IS MF1 (mu=-0.0580, sigma=0.0999) AND KCl IS MF3 (mu=0.4274, sigma=0.0122)",-0.2011,🟢 low
"IF temperature IS MF2 (mu=0.3231, sigma=0.3255) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF1 (mu=-0.0642, sigma=0.0886) AND NaCl IS MF1 (mu=-0.0580, sigma=0.0999) AND KCl IS MF4 (mu=0.6081, sigma=0.3320)",-0.3980,🟢 low
"IF temperature IS MF2 (mu=0.3231, sigma=0.3255) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF1 (mu=-0.0642, sigma=0.0886) AND NaCl IS MF1 (mu=-0.0580, sigma=0.0999) AND KCl IS MF5 (mu=1.0582, sigma=0.0905)",0.0526,🟢 low
"IF temperature IS MF2 (mu=0.3231, sigma=0.3255) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF1 (mu=-0.0642, sigma=0.0886) AND NaCl IS MF2 (mu=0.1644, sigma=0.2222) AND KCl IS MF1 (mu=-0.0555, sigma=0.0945)",-0.2257,🟢 low
